index;code;nom;dep;url
681;02280;epieds;02;
682;02281;epine-aux-bois;02;
683;02282;eppes;02;
684;02283;erlon;02;
685;02284;erloy;02;
686;02286;esqueheries;02;
687;02287;essigny-le-grand;02;
688;02288;essigny-le-petit;02;
689;02289;essises;02;
690;02290;essomes-sur-marne;02;
691;02291;estrees;02;
692;02292;etampes-sur-marne;02;
693;02293;etaves-et-bocquiaux;02;
694;02294;etouvelles;02;
695;02295;etreaupont;02;
696;02296;etreillers;02;
697;02297;etrepilly;02;
698;02298;etreux;02;
699;02299;evergnicourt;02;
700;02301;faucoucourt;02;
701;02302;faverolles;02;
702;02303;fayet;02;
703;02304;fere;02;
704;02305;fere-en-tardenois;02;
705;02306;ferte-chevresis;02;
706;02307;ferte-milon;02;
707;02308;fesmy-le-sart;02;
708;02309;festieux;02;
709;02310;fieulaine;02;
710;02311;filain;02;
711;02312;flamengrie;02;
712;02313;flavigny-le-grand-et-beaurain;02;
713;02315;flavy-le-martel;02;
714;02316;fleury;02;
715;02317;fluquieres;02;
716;02318;folembray;02;
717;02319;fonsomme;02;
718;02320;fontaine-les-clercs;02;
719;02321;fontaine-les-vervins;02;
720;02322;fontaine-notre-dame;02;
721;02323;fontaine-uterte;02;
722;02324;fontenelle;02;
723;02326;fontenoy;02;
724;02327;foreste;02;
725;02328;fossoy;02;
726;02329;fourdrain;02;
727;02330;francilly-selency;02;
728;02331;franqueville;02;
729;02332;fresnes-en-tardenois;02;
730;02333;fresnes-sous-coucy;02;
731;02334;fresnoy-le-grand;02;
732;02335;fressancourt;02;
733;02336;frieres-faillouel;02;
734;02337;froidestrees;02;
735;02338;froidmont-cohartille;02;
736;02339;gandelu;02;
737;02340;gauchy;02;
738;02341;gercy;02;
739;02342;gergny;02;
740;02343;germaine;02;
741;02344;gernicourt;02;
742;02345;gibercourt;02;
743;02346;gizy;02;
744;02347;gland;02;
745;02349;goudelancourt-les-berrieux;02;
746;02350;goudelancourt-les-pierrepont;02;
747;02351;goussancourt;02;
748;02352;gouy;02;
749;02353;grandlup-et-fay;02;
750;02354;grandrieux;02;
751;02355;gricourt;02;
752;02356;grisolles;02;
753;02357;gronard;02;
754;02358;grougis;02;
755;02359;grugies;02;
756;02360;guignicourt;02;
757;02361;guise;02;
758;02362;guivry;02;
759;02363;guny;02;
760;02364;guyencourt;02;
761;02366;hannapes;02;
762;02367;happencourt;02;
763;02368;haramont;02;
764;02369;harcigny;02;
765;02370;hargicourt;02;
766;02371;harly;02;
767;02372;hartennes-et-taux;02;
768;02373;hary;02;
769;02374;lehaucourt;02;
770;02375;hautevesnes;02;
771;02376;hauteville;02;
772;02377;haution;02;
773;02378;herie;02;
774;02379;herie-la-vieville;02;
775;02380;hinacourt;02;
776;02381;hirson;02;
777;02382;holnon;02;
778;02383;homblieres;02;
779;02384;houry;02;
780;02385;housset;02;
781;02386;iron;02;
782;02387;itancourt;02;
783;02388;iviers;02;
784;02389;jaulgonne;02;
785;02390;jeancourt;02;
786;02391;jeantes;02;
787;02392;joncourt;02;
788;02393;jouaignes;02;
789;02395;jumencourt;02;
790;02396;jumigny;02;
791;02397;jussy;02;
792;02398;juvigny;02;
793;02399;juvincourt-et-damary;02;
794;02400;laffaux;02;
795;02401;laigny;02;
796;02402;lanchy;02;
797;02403;landifay-et-bertaignemont;02;
798;02404;landouzy-la-cour;02;
799;02405;landouzy-la-ville;02;
800;02406;landricourt;02;
801;02407;laniscourt;02;
802;02408;laon;02;
803;02409;lappion;02;
804;02410;largny-sur-automne;02;
805;02411;latilly;02;
806;02412;launoy;02;
807;02413;laval-en-laonnois;02;
808;02414;lavaqueresse;02;
809;02415;laversine;02;
810;02416;leme;02;
811;02417;lempire;02;
812;02418;lerzy;02;
813;02419;leschelle;02;
814;02420;lesdins;02;
815;02421;lesges;02;
816;02422;lesquielles-saint-germain;02;
817;02423;leuilly-sous-coucy;02;
818;02424;leury;02;
819;02425;leuze;02;
820;02426;levergies;02;
821;02427;lhuys;02;
822;02428;licy-clignon;02;
823;02429;lierval;02;
824;02430;liesse-notre-dame;02;
825;02431;liez;02;
826;02432;lime;02;
827;02433;lislet;02;
828;02434;lizy;02;
829;02435;logny-les-aubenton;02;
830;02438;longpont;02;
831;02439;septvallons;02;
832;02440;lor;02;
833;02441;louatre;02;
834;02442;loupeigne;02;
835;02443;lucy-le-bocage;02;
836;02444;lugny;02;
837;02445;luzoir;02;
838;02446;ly-fontaine;02;
839;02447;maast-et-violaine;02;
840;02448;machecourt;02;
841;02449;macogny;02;
842;02450;macquigny;02;
843;02451;magny-la-fosse;02;
844;02452;maissemy;02;
845;02453;maizy;02;
846;02454;malmaison;02;
847;02455;malzy;02;
848;02456;manicamp;02;
849;02457;marchais;02;
850;02458;dhuys-et-morin-en-brie;02;
851;02459;marcy;02;
852;02460;marcy-sous-marle;02;
853;02461;marest-dampcourt;02;
854;02462;mareuil-en-dole;02;
855;02463;marfontaine;02;
856;02464;margival;02;
857;02465;marigny-en-orxois;02;
858;02466;marizy-sainte-genevieve;02;
859;02467;marizy-saint-mard;02;
860;02468;marle;02;
