,0,1,2
142,Foissiat,-0.35888535392206095,-0.16500283023572124
143,Francheleins,-0.4892625535385768,-2.8248276555514162
144,Frans,-0.4379056532888956,-2.982279122572793
145,Garnerans,-0.754410232480279,-0.9721766866352395
146,Genouilleux,-0.7375946280405158,-3.5599621270054143
147,Béard-Géovreissiat,-0.6277331059095307,-3.688002290639762
148,Géovreisset,-0.798890256840314,-1.6855218293609653
149,Gex,5.11330368854785,-5.887233302183554
150,Giron,-0.9453915825525122,-1.6350116471743419
151,Gorrevod,-0.715022536410731,-0.318922859792432
152,Grand-Corent,-0.9574436874174249,0.228495963185519
153,Grièges,-0.26638545299266525,-0.3019494297085513
154,Grilly,-0.24756046608455048,-4.495857588712091
155,Groissiat,-0.677529714917023,-0.8991929033823495
156,Guéreins,-0.23044996597702522,-1.9291264162930848
157,Hautecourt-Romanèche,-0.6852810646111287,-0.29880537609413954
158,Plateau d'Hauteville,3.5608714243544726,2.2683282152354294
159,Haut Valromey,-0.5724857750290115,1.7566683269328942
160,Illiat,-0.5992607649384858,-2.3566098961728135
161,Injoux-Génissiat,-0.37959335660197846,-3.225122638514527
162,Innimond,-1.2636486641044848,2.6872234793926113
163,Izenave,-0.8884322253276608,-0.9160731588388838
164,Izernore,0.09413994015541953,-2.216020005099907
165,Izieu,-0.9573450008442425,1.8712639621021074
166,Jassans-Riottier,2.7432595413224137,-0.5697118902100204
167,Jasseron,-0.30854703270891953,-0.9776254507380032
168,Jayat,0.8168828639367869,-2.0521391751996334
169,Journans,-0.7761770226046437,-1.220979154357258
170,Joyeux,-0.608984970998857,-2.5906969783855383
171,Jujurieux,0.002175164051049209,-1.2277076481619786
172,Labalme,-0.6192880512996176,-1.6257631564136563
173,Lagnieu,3.842073103641044,-0.7550486335068818
174,Laiz,-0.1771019499177665,-2.0663716824846023
175,Le Poizat-Lalleyriat,-0.28850854836206885,-2.3145136637107515
176,Lantenay,-0.9630444140306539,-1.3319598288496852
177,Lapeyrouse,-0.8668563791527888,-3.229405217077847
178,Lavours,-1.0593499135169682,1.3358726908613663
179,Léaz,-0.5039026128304234,-4.93434412637019
180,Lélex,-0.29451545092702097,-1.0875916759070001
181,Lent,-0.3926993900757368,-1.3712355592894458
182,Lescheroux,-0.7284053612188066,-0.3355723898239967
183,Leyment,-0.1923193083070285,-3.2885287360124478
184,Leyssard,-1.0323235497100927,-1.3726205952994943
185,Surjoux-Lhopital,-1.0228080556865593,-2.3402604850138538
186,Lhuis,-0.1658356357767324,1.4572442874140734
187,Lompnas,-0.7312207372375282,0.29543461655561654
188,Loyettes,0.4263589598110409,-3.1175680982667884
189,Lurcy,-0.7620548953192495,-1.3139144626580705
190,Magnieu,-0.8398040171210487,-1.9833723529849336
191,Maillat,-0.450143058437569,-1.6892807665291372
192,Malafretaz,-0.1263726707977864,-1.7256078157724255
193,Mantenay-Montlin,-0.9691088136992563,-0.573211940855094
194,Manziat,-0.1953159764985636,-0.6359198621642931
195,Marboz,0.7032308773718198,0.06717397485804544
196,Marchamp,-0.8755732764512646,0.07148082503787336
197,Marignieu,-1.1238343573784735,0.7959326019682973
198,Marlieux,0.09046493304560192,-2.033204046633393
199,Marsonnas,-0.6271531257576498,-1.4044833980237017
200,Martignat,-0.4744118830871242,-2.1650664367924697
201,Massieux,0.5885668897388128,-2.7133867785224615
202,Massignieu-de-Rives,-0.7264833943103441,-0.6158895106107566
203,Matafelon-Granges,-0.7458083621095166,-1.4152401208968985
204,Meillonnas,-0.5127532478176245,-0.5329367188856506
205,Mérignat,-0.7255698499451313,-3.2828602553630932
206,Messimy-sur-Saône,-0.590606511210106,-1.7578314539864632
207,Meximieux,4.805388031421177,-1.852482022723443
208,Bohas-Meyriat-Rignat,-0.7092163463178665,-1.4302871855556283
209,Mézériat,0.18540833928333697,-1.0698382587853117
210,Mijoux,-0.5175014164905646,-3.073173580268214
211,Mionnay,0.5106538098224486,-3.12280642319433
212,Miribel,4.948699495311627,-2.434331720678027
213,Misérieux,-0.06634238714006946,-3.032911903268142
214,Mogneneins,-0.7186048118768806,-1.5204895679837906
215,Montagnat,-0.43481932220102987,-2.0030485570973524
216,Montagnieu,-0.514042758430614,-1.659061068634971
217,Montanges,-0.641684655336017,-2.3918165566595024
218,Montceaux,0.09192295502459766,-2.2982652403892727
219,Montcet,-0.7216585072350838,-3.1513949555299785
220,Le Montellier,-0.7900563483189224,-3.885552176038271
221,Monthieux,-0.5886529195800356,-2.980672588964976
222,Montluel,3.0344196242523207,-1.4146364137020244
223,Montmerle-sur-Saône,1.0120622635785128,-0.8726162680928654
224,Montracol,-0.7951917178815914,-1.7177329375967305
225,Montréal-la-Cluse,1.7294687889546458,-1.2294938895666565
226,Montrevel-en-Bresse,1.7850856676993132,1.6337016843083743
227,Nurieux-Volognat,-0.554483297031894,-1.313911411855483
228,Murs-et-Gélignieux,-1.0530762472891526,0.1517979950973439
229,Nantua,2.4874046421162257,0.06864820890361492
230,Neuville-les-Dames,-0.38505228161838545,-0.0723452662464168
231,Neuville-sur-Ain,-0.03078482555540681,-1.8267846222502573
232,Les Neyrolles,-0.4866220594856713,-1.5438369964868988
233,Neyron,0.7845083916673697,-2.7126603466519073
234,Niévroz,-0.4508432417110323,-4.0115775154479545
235,Nivollet-Montgriffon,-1.0586485230534848,-1.4139357886641135
236,Oncieu,-0.9795092184391961,1.5021332332275756
237,Ordonnaz,-0.9610526429663572,1.060543106972049
238,Ornex,0.39650021370838356,-5.130518737192712
239,Outriaz,-0.8247523764661436,-1.0224611394152836
240,Oyonnax,10.255636898204537,-0.036017376841624725
241,Ozan,-0.6586941354520895,-2.7342003837694935
242,Parcieux,-0.41113352339349407,-3.526676521935852
243,Parves et Nattages,-0.6881291299688684,-0.2742332457087714
244,Péron,0.5865607884769911,-6.004431997205929
245,Péronnas,2.2564144268485244,0.5571720351786607
246,Pérouges,-0.20322572374572365,-0.534284754584599
247,Perrex,-0.5784299185695733,-1.2928680374327801
248,Peyriat,-1.1428425407558833,-0.9535069606947433
249,Peyrieu,-0.7377183963771894,-1.4320866518550608
250,Peyzieux-sur-Saône,-0.4938508864207722,-5.179883079713292
251,Pirajoux,-0.882419837784718,-1.1596458864934265
252,Pizay,-0.6065070475833854,-3.9932272458479425
253,Plagne,-1.0549353789508369,-1.924399448393092
254,Le Plantay,-0.6529145763681496,-2.4725122694592483
255,Polliat,0.7800158632473833,-0.87938418046568
256,Pollieu,-1.0570452389562508,0.9228951908284464
257,Poncin,0.4257548874302321,-0.47725584126292003
258,Pont-de-Vaux,1.6503065854200327,2.1191736236957697
259,Pont-de-Veyle,1.182845778754646,0.48592991894672033
260,Port,-0.15519258680077677,-0.6460560273900258
261,Pougny,-0.46570370328230454,-3.450319038156576
262,Pouillat,-0.851863620697466,0.5497495654483137
263,Prémeyzel,-0.6712255778740743,-0.0016109017184881228
264,Prémillieu,-0.9443082880822102,-1.684384029089168
265,Prévessin-Moëns,2.7376334862127107,-6.564177448527652
266,Priay,-0.4037692584845313,-2.293960316147897
267,Ramasse,-0.9903788088962152,-2.3253535693186693
268,Rancé,-0.7424565608053225,-3.2694676990317295
269,Relevant,-0.7950639522707645,-1.918948215885985
270,Replonges,1.0875305565104412,-0.8553631128636935
